ID,Type,SKU,Name,Description,Tax status,In stock?,Regular price,Categories,Tags,Images,Brands
,simple,DS-2CD8A86G2-XZHS,HIKVISION DS-2CD8A86G2-XZHS 8MP DeepinView Multi-Sensor Bullet Camera,"HIKVISION DS-2CD8A86G2-XZHS 8MP DeepinView Multi-Sensor Bullet Camera is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: DS-2CD8A86G2-XZHS.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, DS-2CD8A86G2-XZHS, Ip Camera, Jordan",DS-2CD8A86G2-XZHS-1200x1200.png,HIKVISION
,simple,DS-2XS6A87G1-L-C32S80,HIKVISION DS-2XS6A87G1-L/C32S80(No battery) 4K ColorVu Fixed Bullet Solar Power 4G Network Camera Kit,"HIKVISION DS-2XS6A87G1-L/C32S80(No battery) 4K ColorVu Fixed Bullet Solar Power 4G Network Camera Kit is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: DS-2XS6A87G1-L-C32S80.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, DS-2XS6A87G1-L-C32S80, Ip Camera, Jordan",DS-2XS6A87G1-L-C32S80-1200x1200.png,HIKVISION
,simple,DS-D6904UDI,HIKVISION DS-D6904UDI 4K Decoder,"HIKVISION DS-D6904UDI 4K Decoder is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: DS-D6904UDI.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, DS-D6904UDI, Ip Camera, Jordan",DS-D6904UDI-1200x1200.png,HIKVISION
,simple,IDS-2CD7A46G0/P-IZHSY,HIKVISION IDS-2CD7A46G0/P-IZHS 4MP DeepinView ANPR Moto Varifocal Bullet Camera,"HIKVISION IDS-2CD7A46G0/P-IZHS 4MP DeepinView ANPR Moto Varifocal Bullet Camera is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: IDS-2CD7A46G0/P-IZHSY.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, IDS-2CD7A46G0/P-IZHSY, Ip Camera, Jordan",IDS-2CD7A46G0-P-IZHSY-1200x1200.png,HIKVISION
,simple,IDS-2CD7A46G2-IZHS-2.8-12MM,HIKVISION IDS-2CD7A46G2-IZHS 4MP DeepinViewX Moto Varifocal Bullet Camera,"HIKVISION IDS-2CD7A46G2-IZHS 4MP DeepinViewX Moto Varifocal Bullet Camera is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: IDS-2CD7A46G2-IZHS-2.8-12MM.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, IDS-2CD7A46G2-IZHS-2.8-12MM, Ip Camera, Jordan",IDS-2CD7A46G2-IZHS-1200x1200.png,HIKVISION
,simple,IDS-2CD7A46G2-IZHSY-2.8-12MM,HIKVISION IDS-2CD7A46G2-IZHSY-2.8-12MM 4MP DeepinView Moto Varifocal Bullet Camera,"HIKVISION IDS-2CD7A46G2-IZHSY-2.8-12MM 4MP DeepinView Moto Varifocal Bullet Camera is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: IDS-2CD7A46G2-IZHSY-2.8-12MM.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, IDS-2CD7A46G2-IZHSY-2.8-12MM, Ip Camera, Jordan",IDS-2CD7A46G2-IZHSY-6-132MM-1200x1200.png,HIKVISION
,simple,IDS-2CD7A46G2-IZHSY-6-132MM,HIKVISION iDS-2CD7A46G2-IZHSY-6-132MM 4MP DeepinView Moto Varifocal Bullet Camera,"HIKVISION iDS-2CD7A46G2-IZHSY-6-132MM 4MP DeepinView Moto Varifocal Bullet Camera is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: IDS-2CD7A46G2-IZHSY-6-132MM.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, IDS-2CD7A46G2-IZHSY-6-132MM, Ip Camera, Jordan",IDS-2CD7A46G2-IZHSY-6-132MM-1200x1200-001.png,HIKVISION
,simple,IDS-2CD7A46G2/P-IZHS,HIKVISION IDS-2CD7A46G2/P-IZHS 4MP DeepinView ANPR Moto Varifocal Bullet Camera,"HIKVISION IDS-2CD7A46G2/P-IZHS 4MP DeepinView ANPR Moto Varifocal Bullet Camera is a ip cameras from HIKVISION suitable for CCTV, security monitoring, surveillance installations, and commercial security systems in Jordan. Model: IDS-2CD7A46G2/P-IZHS.",taxable,0,0,Surveillance System Hardware > Cameras > IP Cameras,"Surveillance System Hardware, Cameras, IP Cameras, HIKVISION, IDS-2CD7A46G2/P-IZHS, Ip Camera, Jordan",IDS-2CD7A46G2-IZHSY-6-132MM-1200x1200-002.png,HIKVISION
,simple,i504W,FANVIL i504W SIP Indoor Station,"FANVIL i504W SIP Indoor Station is a intercom / video door phones from FANVIL suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: i504W.",taxable,1,119,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, FANVIL, i504W, Tenda, Attendance, Intercom, Jordan",i504-1200x1200.jpg,FANVIL
,simple,i506W,FANVIL i506W SIP Indoor Station,"FANVIL i506W SIP Indoor Station is a intercom / video door phones from FANVIL suitable for access control, door security, staff attendance, and building entry management in Jordan. Model: i506W.",taxable,1,195,Access & Attendance Control Hardware > Intercom Systems > Intercom / Video Door Phones,"Access & Attendance Control Hardware, Intercom Systems, Intercom / Video Door Phones, FANVIL, i506W, Tenda, Attendance, Intercom, Jordan",i506W-1200x1200.jpg,FANVIL
